CODI_DIVISIO_TERRITORIAL;TIPUS_VEHICLE;CODI_TIPUS_VEHICLE;ANTIGUITAT;POTENCIA_FISCAL;CILINDRADA;PLACES;MARCA;NR_VEHICLES
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2015;13,3;1998;5;Mazda;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;9,99;1240;5;Nissan;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;13,19;1968;5;A.U.D.I.;5
B-01;TURISMO;Turismes de menys de 8 CV               ;2012;7,81;998;5;Ford;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;11,47;1560;7;Citroen;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;13,3;1997;5;Ford;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;11,02;1461;5;Renault;3
B-01;TURISMO;Turismes de menys de 8 CV               ;2013;7,82;998;4;Toyota;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2011;10,7;1390;5;Volkswagen;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;11,02;1461;5;Renault;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;10,58;1364;5;Opel;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;9,78;1199;5;Opel;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;11,47;1560;5;Peugeot;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;11,59;1587;5;Citroen;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;11,61;1591;5;Hyundai;3
B-01;TURISMO;Turismes de menys de 8 CV               ;2013;7,83;999;2;Smart;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2009;1,45;125;2;Honda;8
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2011;1,45;124;2;S.Y.M;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2004;13,3;1997;5;Citroen;4
B-01;TURISMO;Turismes de menys de 8 CV               ;2014;7,34;898;5;Renault;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2003;13,31;1997;5;Peugeot;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;11,61;1591;5;Kia;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;13,19;1968;5;Audi;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2009;11,47;1560;4;Mini;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2013;1,45;124;2;Sym;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2004;10,57;1360;5;Peugeot;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;11,59;1587;5;Citroen;5
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;13,19;1968;5;Volkswagen;6
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;11,63;1598;5;Mazda;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2015;13,19;1968;5;Volkswagen;6
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 250 fins a 500 cc;2010;2,34;279;2;Honda;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;0;11,64;1598;5;Volkswagen;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;11,47;1560;5;Ford;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;0;13,88;2143;5;Mercedes-Benz;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2009;10,62;1398;5;Peugeot;2
B-01;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;2004;3,16;459;2;Piaggio;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;10,74;1397;5;Citroen;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2005;1,45;125;2;Honda;15
B-01;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2007;6,46;599;2;Honda;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,19;1968;5;A.U.D.I.;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,27;1299;5;Ford;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 125 fins a 250 cc;1972;2;161;2;Vespa;2
B-01;FURGONETA MIXTA;Camions de menys de 1.000 kg de càrrega ;1986;8;970;0;Suzuki;2
B-01;VEHICULO ESPECIAL;Tractors de menys de 16 CV              ;2002;3,9;567;1;M.Z.Imer;3
B-01;CICL. 2 RUEDAS;Ciclomotors                             ;2005;0;49;2;Beta;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 1.000 cc         ;2010;7,31;1170;2;B.M.W.;4
B-01;TURISMO;Turismes de menys de 8 CV               ;0;7,82;998;5;Hyundai;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2004;1,45;125;2;Honda;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2014;13,19;1968;5;Volkswagen;3
B-01;TURISMO;Turismes de menys de 8 CV               ;2014;7,34;898;5;Dacia;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;8,72;1198;5;Seat;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2008;11,63;1598;5;Opel;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2003;13,98;2172;5;Opel;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;11,63;1596;5;Ford;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2001;12,3;1753;5;Ford;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2014;10,58;1364;5;Opel;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2012;9,78;1197;5;Volkswagen;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;11,64;1598;5;Renault;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2004;12,95;1910;5;Fiat;5
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,25;1984;5;Audi;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2010;13,3;1995;7;Nissan;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;13,25;1984;5;Audi;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2008;13,31;1998;5;Toyota;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;10,74;1398;5;Opel;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;13,19;1968;5;Seat;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;10,74;1398;5;Peugeot;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,3;1997;5;Ford;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;11,63;1596;5;Ford;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;11,47;1560;5;Mazda;2
B-01;MOTOCICLETA DE 2 RUEDAS;Motocicletes fins a 125 cc              ;2012;1,45;124;2;Kymco;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2002;12,37;1769;5;Nissan;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2006;12,89;1896;5;Audi;4
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2008;1,45;125;2;Honda;10
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;15,06;2457;5;Subaru;2
B-01;CICL. 2 RUEDAS;Ciclomotors                             ;2002;0;49;2;Piaggio;2
B-01;CICL. 2 RUEDAS;Ciclomotors                             ;2003;0;49;2;Piaggio;2
B-01;VEHIC. ESPECIAL;Tractors de menys de 16 CV              ;2009;8,4;1132;1;M.Z.Imer;5
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2007;11,47;1560;7;Peugeot;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;10,6;1368;5;Hyundai;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;13,3;1998;5;Renault;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;11,02;1461;5;Renault;8
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;12,89;1896;5;Seat;3
B-01;TURISMO;Turismes de menys de 8 CV               ;2009;7,82;998;4;Toyota;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;11,02;1461;5;Dacia;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2015;11,47;1560;5;Citroen;9
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2014;1,45;124;2;Kymco;4
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2003;13,3;1995;5;Bmw;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2005;12,95;1910;5;Fiat;2
