DIVISIO_TERRITORIAL,2013,2013_NR_LOCALS,2014,2014_NR_LOCALS,2015,2015_NR_LOCALS,2016,2016_NR_LOCALS,2017,2017_NR_LOCALS,2018,2018_NR_LOCALS,2019,2019_NR_LOCALS,NOM_DIVISIO_TERRITORIAL,% 2013,% 2014,% 2015,% 2016,% 2017,% 2018,% 2019
S-07008,20478.96,514,22447.19,507,24656.7,510,26944.26,511,28022.03,511,29142.91,511,30000.94,503,Districte: 07   Secció: 008,0.0,9.61098610476313,20.400157039224656,31.57045084320688,36.83326692371097,42.30659174098685,46.49640411427143
S-07009,25561.86,144,28266.49,142,31093.14,142,34074.63,142,35344.48,143,36784.6,144,37882.07,145,Districte: 07   Secció: 009,0.0,10.580724563861944,21.638800932326514,33.30262351800689,38.27037625587497,43.90423858044758,48.1976272462176
S-07010,32587.73,386,34416.25,387,38046.67,388,41851.33,388,43525.38,388,45048.57,368,46137.74,365,Districte: 07   Secció: 010,0.0,5.611068951412082,16.75151966706487,28.4266501532939,33.5637063397788,38.237827550430794,41.58009778527071
S-07011,27771.95,337,30580.58,340,33365.26,341,36933.81,352,38216.57,352,39745.23,352,40898.57,348,Districte: 07   Secció: 011,0.0,10.113189747208969,20.140141401666074,32.9896172216931,37.608522267971814,43.112853076575476,47.265748354004664
S-07012,21843.12,345,24064.23,345,26470.65,345,29117.71,345,30282.42,345,31493.71,345,32464.03,344,Districte: 07   Secció: 012,0.0,10.168464944568361,21.185297704723514,33.30380458469303,38.63596409304165,44.18137152567949,48.62359406531668
S-07013,24057.3,528,26228.07,520,28793.08,520,31657.9,521,32907.31,524,34096.5,526,35065.27,517,Districte: 07   Secció: 013,0.0,9.023331795338631,19.68541773183193,31.59373662048527,36.787212197545024,41.73036874462222,45.75729612217497
S-07014,27415.19,789,29991.87,787,33070.65,785,36314.17,784,37768.1,784,39189.48,794,40236.62,788,Districte: 07   Secció: 014,0.0,9.398731141385488,20.62892870704162,32.46003401763767,37.76340780421365,42.9480517917257,46.76761313709664
S-07015,21566.79,433,23702.4,432,26042.63,432,31813.16,223,33085.69,223,34409.11,223,35609.15,218,Districte: 07   Secció: 015,0.0,9.902308132086418,20.753389818327157,47.5099446881061,53.41035916796149,59.54673829531423,65.1110341409176
S-07017,23876.84,196,25985.03,197,28583.53,197,31441.88,197,32679.57,198,33749.12,200,34817.96,198,Districte: 07   Secció: 017,0.0,8.82943471581666,19.71236562292162,31.683589620737084,36.86723201227633,41.34667736601662,45.82314912693639
S-07018,30641.27,94,33705.39,94,37075.92,94,40783.53,94,42414.87,94,44111.46,94,45434.8,94,Districte: 07   Secció: 018,0.0,9.999977154993898,20.999945498342587,33.09999879247824,38.42399482789063,43.960938955859206,48.27975472296025
