ID,TIPUS_EQUIPAMENT,DESCRIPCIO_TIPUS_EQUIPAMENT,NOM,NOM_CONTACTE,COGNOM1_CONTACTE,COGNOM2_CONTACTE,TELEFON,EMAIL,URL,SIGLA,CARRER,CODI_CARRER,NRO,BIS,ESCALA,PIS,PORTA,CODI_DIVISIO_TERRITORIAL_ADM,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,CIUTAT,CODI_CIUTAT,PROVINCIA,CODI_PROVINCIA,PAIS,CODI_PAIS,UTMX,UTMY,LATITUD,LONGITUD,TIPO_UTM,ADREÇA_COMPLETA
851,Associac.,Associacions,ASOCIACION DE VECINOS TER/LLOBREGAT,,,,,,,,,,,,,,,D-02,B-20,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.23******,,Ptge. Riu Ter
852,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS MONTIGALÀ 342-BATLLÒRIA,,,,93465****,,,,,,,,,,,D-,B-26,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.24******,,C/ Ciència
853,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS BARRI LA PAU,,,,93460****,,,,,,,,,,,D-02,B-24,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.22******,,Pl. Músics
854,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS ARTIGAS,,,,93388****,,,,,,,,,,,D-06,B-30,08919,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.43******,2.22******,,C/ Balmes
855,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS LA SALUT ZONA ALTA,,,,93460****,,,,,,,,,,,D-04,B-22,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,C/ Víctor Balaguer
856,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS VERGE LA SALUT,,,,61997****,,,,,,,,,,,D-04,B-22,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.23******,,Gr. Verge de la Salut
857,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS NOU BARRI DE BATLLÒRIA,,,,67652****,,,,,,,,,,,D-,B-26,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.24******,,C/ Ciència
858,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS EL BRUC,,,,60586****,,,,,,,,,,,D-03,B-09,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.24******,,Av. Biscaia
859,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS SANT MORI-LLEFIÀ,,,,93399****,,,,,,,,,,,D-05,B-29,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Ctra. Antiga de València
860,Mercats,Mercats i centres comercials,ENCANTS DIMECRES LLEFIÀ,,,,,,,,,,,,,,,D-04,B-22,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Av. Marquès de Sant Mori / C/ Brasil
861,Mercats,Mercats i centres comercials,ENCANTS DIMECRES POMAR-MORERA,,,,93465****,,,,,,,,,,,D-03,B-15,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.47******,2.25******,,Merc. Mercat Pomar
862,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS MANRESÀ,,,,93389****,,,,,,,,,,,D-01,B-11,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.27******,,C/ Murillo
863,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS LA COLINA,,,,93383****,,,,,,,,,,,D-02,B-25,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.22******,,Pl. Rafael Campalans
864,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS JUAN VALERA,,,,93383****,,,,,,,,,,,D-04,B-22,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,C/ Juan Valera
865,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS LLOREDA,,,,93383****,,,,,,,,,,,D-02,B-23,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.23******,,Segona República
866,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS RONDA SANT ANTONI LLEFIÀ,,,,93399****,,,,,,,,,,,D-04,B-28,08913,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Sant Antoni
867,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS CAN CLARÍS,,,,93399****,,,,,,,,,,,D-05,B-07,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Ramon Llull
868,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS CONGRESO,,,,93387****,,,,,,,,,,,D-06,B-32,08918,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,C/ Sant Marc
869,Mercats,Mercats i centres comercials,ENCANTS DIVENDRES,,,,,,,,,,,,,,,D-,B-26,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.23******,,Parc Comercial Montigala
870,Mercats,Mercats i centres comercials,ENCANTS DISSABTE,,,,,,,,,,,,,,,D-04,B-22,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Av. Salvador Espriu desde Pere Martell fins Av. Caritg
871,At.Ciutadà,Atenció al ciutadà,CASAL DE LA DONA DE POMAR,,,,93395****,casaldonapom**@********************,,,,,,,,,,D-03,B-15,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.47******,2.25******,,Av. Sabadell
872,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS PUIGFRED,,,,93387****,,,,,,,,,,,D-02,B-24,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.22******,,C/ Linares
873,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS CAN MERCADER,,,,93389****,,,,,,,,,,,D-01,B-13,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Sant Bru
874,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS CANYADÓ,,,,93464****,,,,,,,,,,,D-01,B-12,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.26******,,C/ Eduard Marquina
875,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS JOAQUIM RUYRA,,,,93383****,,,,,,,,,,,D-05,B-04,08912,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,C/ Joaquim Ruyra
876,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS BONAVISTA,,,,93465****,,,,,,,,,,,D-03,B-10,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.47******,2.24******,,C/ Eliseu Meifrèn
877,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS NOVA LLOREDA NORD,,,,93398****,,,,,,,,,,,D-02,B-20,08917,Badalona,015,Barcelona ,08,ESPAÑA,108,,,41.45******,2.23******,,Av. Catalunya
