CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
S-07002;INDUSTRIA;       172,711.32;20
S-07002;OFICINA;        48,967.70;16
S-07002;SOL SENSE EDIFICAR;       615,277.05;2
S-07002;VIVENDA;        45,640.63;829
S-07003;COMERÇ;        74,119.86;10
S-07003;EMMAGATZEMATGE;         6,532.61;176
S-07003;INDUSTRIA;       161,778.64;6
S-07003;VIVENDA;        25,414.69;468
S-07004;COMERÇ;        78,390.55;52
S-07004;EMMAGATZEMATGE;         8,342.90;317
S-07004;ENSENYAMENT;        79,271.84;1
S-07004;ESPORTIU;       100,499.48;3
S-07004;HOTEL;       331,651.44;1
S-07004;INDUSTRIA;        71,186.27;14
S-07004;OFICINA;        32,894.85;12
S-07004;SOL SENSE EDIFICAR;        32,770.55;4
S-07004;VIVENDA;        54,315.92;557
S-07005;ALTRES USOS;        96,107.79;1
S-07005;COMERÇ;        41,252.40;30
S-07005;EMMAGATZEMATGE;         7,321.17;114
S-07005;HOTEL;        41,851.16;1
S-07005;INDUSTRIA;        20,336.64;2
S-07005;OFICINA;       143,399.85;6
S-07005;SOL SENSE EDIFICAR;       106,313.08;2
S-07005;VIVENDA;        44,423.76;264
S-07006;ALTRES USOS;       150,179.30;2
S-07006;COMERÇ;       119,545.33;19
S-07006;EMMAGATZEMATGE;        18,217.72;255
S-07006;ENSENYAMENT;        58,732.44;10
S-07006;INDUSTRIA;       758,994.23;3
S-07006;OFICINA;        70,986.31;10
S-07006;VIVENDA;        43,453.51;340
S-07007;COMERÇ;        36,517.08;28
S-07007;EMMAGATZEMATGE;        10,441.33;69
S-07007;INDUSTRIA;        70,319.57;3
S-07007;OFICINA;        18,147.65;1
S-07007;SOL SENSE EDIFICAR;        37,319.92;3
S-07007;VIVENDA;        30,828.57;327
S-07008;COMERÇ;        36,432.17;53
S-07008;EMMAGATZEMATGE;        18,826.78;24
S-07008;ENSENYAMENT;        80,333.85;2
S-07008;HOTEL;        25,186.04;1
S-07008;INDUSTRIA;        28,588.64;7
S-07008;OFICINA;        81,853.80;1
S-07008;SOL SENSE EDIFICAR;        52,843.94;5
S-07008;VIVENDA;        24,656.70;510
S-07009;COMERÇ;        32,327.29;15
S-07009;EMMAGATZEMATGE;         6,065.80;68
S-07009;VIVENDA;        31,093.14;142
S-07010;ALTRES USOS;     1,591,758.64;1
S-07010;COMERÇ;        71,686.04;25
S-07010;EMMAGATZEMATGE;         7,905.99;213
S-07010;ESPORTIU;       137,984.90;1
S-07010;INDUSTRIA;        61,279.62;7
S-07010;OFICINA;        37,551.28;3
S-07010;SOL SENSE EDIFICAR;         9,843.93;3
S-07010;VIVENDA;        38,046.67;388
S-07011;ALTRES USOS;       599,511.20;1
S-07011;COMERÇ;        32,904.62;26
S-07011;EMMAGATZEMATGE;        12,576.81;49
S-07011;ENSENYAMENT;        43,938.20;1
S-07011;HOTEL;        22,977.42;1
S-07011;INDUSTRIA;        11,665.60;3
S-07011;OFICINA;        31,340.38;1
S-07011;SOL SENSE EDIFICAR;         3,939.62;17
S-07011;VIVENDA;        33,365.26;341
S-07012;COMERÇ;        35,534.41;22
S-07012;EMMAGATZEMATGE;         4,395.38;185
S-07012;OFICINA;        47,568.36;1
S-07012;VIVENDA;        26,470.65;345
S-07013;COMERÇ;        45,876.19;60
S-07013;EMMAGATZEMATGE;         9,673.88;109
S-07013;INDUSTRIA;        12,220.36;1
S-07013;SOL SENSE EDIFICAR;        27,705.57;3
S-07013;VIVENDA;        28,793.08;520
S-07014;COMERÇ;        39,047.34;53
S-07014;EMMAGATZEMATGE;        22,229.92;49
S-07014;ENSENYAMENT;        98,387.22;2
S-07014;INDUSTRIA;        38,561.34;11
S-07014;OFICINA;        29,277.95;1
S-07014;SOL SENSE EDIFICAR;        20,634.12;8
S-07014;VIVENDA;        33,070.65;785
S-07015;COMERÇ;        28,739.81;32
S-07015;EMMAGATZEMATGE;         9,816.82;33
S-07015;SOL SENSE EDIFICAR;        32,594.78;10
S-07015;VIVENDA;        26,042.63;432
S-07017;COMERÇ;        49,119.05;11
S-07017;EMMAGATZEMATGE;        14,439.52;26
S-07017;OFICINA;        49,647.28;3
S-07017;SOL SENSE EDIFICAR;        36,230.00;4
S-07017;VIVENDA;        28,583.53;197
S-07018;COMERÇ;        32,818.06;5
S-07018;EMMAGATZEMATGE;        13,211.89;2
S-07018;ENSENYAMENT;        42,883.13;1
S-07018;OFICINA;        51,167.56;2
S-07018;VIVENDA;        37,075.92;94
S-07019;COMERÇ;        30,798.11;11
S-07019;EMMAGATZEMATGE;        13,980.62;21
S-07019;INDUSTRIA;        14,385.80;2
S-07019;OFICINA;        33,593.29;3
S-07019;VIVENDA;        41,122.98;227
S-07021;COMERÇ;        57,491.64;17
S-07021;EMMAGATZEMATGE;         7,269.29;83
S-07021;ESPORTIU;    13,552,316.81;1
S-07021;INDUSTRIA;        18,711.61;3
S-07021;OFICINA;        84,358.83;2
S-07021;VIVENDA;        35,970.52;258
S-07022;COMERÇ;        20,463.52;8
S-07022;EMMAGATZEMATGE;         5,125.71;88
S-07022;ENSENYAMENT;        68,918.78;2
S-07022;VIVENDA;        31,678.95;275
S-07023;COMERÇ;       138,263.37;60
S-07023;EMMAGATZEMATGE;         6,681.67;688
S-07023;ENSENYAMENT;       352,799.39;4
S-07023;HOTEL;       645,410.70;1
S-07023;INDUSTRIA;       243,134.22;11
S-07023;OFICINA;        81,311.80;19
S-07023;SOL SENSE EDIFICAR;        71,278.09;7
S-07023;VIVENDA;        56,704.80;695
S-07024;COMERÇ;        32,667.19;20
S-07024;EMMAGATZEMATGE;        10,992.30;233
S-07024;HOTEL;        31,564.13;1
S-07024;INDUSTRIA;        45,889.72;2
S-07024;OFICINA;        49,256.16;17
S-07024;PUBLIC;       232,162.33;1
S-07024;VIVENDA;        39,608.94;457
S-07025;ALTRES USOS;        53,672.42;2
S-07025;COMERÇ;        29,861.46;20
