SECCIO_CENSAL;US;PROMIG_VALOR_CAD;NR_LOCALS
S-07002;INDUSTRIA;       218,208.49;20
S-07002;OFICINA;        59,605.60;15
S-07002;SOL SENSE EDIFICAR;       753,992.96;2
S-07002;VIVENDA;        55,914.25;827
S-07003;COMERÇ;        72,385.04;13
S-07003;EMMAGATZEMATGE;         8,005.38;176
S-07003;INDUSTRIA;       198,252.07;6
S-07003;VIVENDA;        30,884.99;498
S-07004;ALTRES USOS;       156,079.31;1
S-07004;COMERÇ;        95,962.41;52
S-07004;EMMAGATZEMATGE;         9,989.20;326
S-07004;ENSENYAMENT;       116,329.09;2
S-07004;ESPORTIU;       123,157.35;3
S-07004;HOTEL;       406,423.16;1
S-07004;INDUSTRIA;       100,027.03;11
S-07004;OFICINA;        40,311.06;12
S-07004;SOL SENSE EDIFICAR;       139,127.60;3
S-07004;VIVENDA;        66,090.65;559
S-07005;ALTRES USOS;       117,775.54;1
S-07005;COMERÇ;        49,356.05;31
S-07005;EMMAGATZEMATGE;         8,572.43;113
S-07005;HOTEL;        51,286.60;1
S-07005;INDUSTRIA;        24,921.57;2
S-07005;OFICINA;       174,457.88;5
S-07005;SOL SENSE EDIFICAR;       130,281.64;2
S-07005;VIVENDA;        53,855.19;268
S-07006;ALTRES USOS;       184,037.62;2
S-07006;COMERÇ;       141,866.83;20
S-07006;EMMAGATZEMATGE;        23,223.23;255
S-07006;ENSENYAMENT;        74,507.22;6
S-07006;INDUSTRIA;       858,358.69;3
S-07006;OFICINA;        86,990.43;10
S-07006;SOL SENSE EDIFICAR;       178,241.61;1
S-07006;VIVENDA;        52,847.69;343
S-07007;COMERÇ;        44,752.76;28
S-07007;EMMAGATZEMATGE;        12,805.41;68
S-07007;INDUSTRIA;        86,173.29;3
S-07007;OFICINA;        22,239.06;1
S-07007;SOL SENSE EDIFICAR;        22,725.09;7
S-07007;VIVENDA;        37,328.45;319
S-07008;COMERÇ;        45,361.65;50
S-07008;EMMAGATZEMATGE;        22,432.92;24
S-07008;ENSENYAMENT;       151,790.11;1
S-07008;HOTEL;        30,864.28;1
S-07008;INDUSTRIA;        35,034.01;7
S-07008;OFICINA;       100,307.95;1
S-07008;SOL SENSE EDIFICAR;        58,109.19;6
S-07008;VIVENDA;        30,000.94;503
S-07009;COMERÇ;        40,163.29;13
S-07009;EMMAGATZEMATGE;         7,433.33;68
S-07009;VIVENDA;        37,882.07;145
S-07010;ALTRES USOS;       675,760.72;3
S-07010;COMERÇ;        94,228.79;24
S-07010;EMMAGATZEMATGE;         8,808.41;211
S-07010;ESPORTIU;       169,093.96;1
S-07010;INDUSTRIA;        75,095.26;7
