CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-09001;011-020;109;140
S-09001;021-030;141;142
S-09001;031-040;205;176
S-09001;041-050;225;187
S-09001;051-060;119;121
S-09001;061-070;77;110
S-09001;071-080;56;80
S-09001;80+;52;58
S-09002;000-010;134;112
S-09002;011-020;134;139
S-09002;021-030;137;112
S-09002;031-040;145;116
S-09002;041-050;171;129
S-09002;051-060;147;126
S-09002;061-070;86;78
S-09002;071-080;44;53
S-09002;80+;25;40
S-09003;000-010;69;57
S-09003;011-020;75;53
S-09003;021-030;55;58
S-09003;031-040;85;84
S-09003;041-050;101;85
S-09003;051-060;71;63
S-09003;061-070;57;58
S-09003;071-080;35;34
S-09003;80+;14;22
S-09004;000-010;130;134
S-09004;011-020;180;143
S-09004;021-030;185;124
S-09004;031-040;182;126
S-09004;041-050;220;120
S-09004;051-060;139;97
S-09004;061-070;72;49
S-09004;071-080;24;45
S-09004;80+;26;30
S-09005;000-010;62;46
S-09005;011-020;56;31
S-09005;021-030;75;70
S-09005;031-040;89;64
S-09005;041-050;99;65
S-09005;051-060;83;80
S-09005;061-070;59;60
S-09005;071-080;46;60
S-09005;80+;21;49
S-09006;000-010;99;103
S-09006;011-020;109;108
S-09006;021-030;150;108
S-09006;031-040;142;104
S-09006;041-050;191;110
S-09006;051-060;124;100
S-09006;061-070;65;60
S-09006;071-080;26;52
S-09006;80+;23;61
S-09008;000-010;63;71
S-09008;011-020;88;69
S-09008;021-030;67;77
S-09008;031-040;109;89
S-09008;041-050;120;95
S-09008;051-060;115;127
S-09008;061-070;98;98
S-09008;071-080;47;79
S-09008;80+;39;63
S-09009;000-010;30;40
S-09009;011-020;36;57
S-09009;021-030;37;45
S-09009;031-040;54;51
S-09009;041-050;83;78
S-09009;051-060;77;57
S-09009;061-070;38;44
S-09009;071-080;75;101
S-09009;80+;54;79
S-09010;000-010;33;35
S-09010;011-020;48;36
S-09010;021-030;69;54
S-09010;031-040;65;65
S-09010;041-050;86;68
S-09010;051-060;108;121
S-09010;061-070;72;70
S-09010;071-080;48;83
S-09010;80+;53;88
S-09011;000-010;57;48
S-09011;011-020;41;55
S-09011;021-030;57;55
S-09011;031-040;50;64
S-09011;041-050;89;85
S-09011;051-060;77;68
S-09011;061-070;35;40
S-09011;071-080;29;47
S-09011;80+;41;70
S-09012;000-010;73;56
S-09012;011-020;81;76
S-09012;021-030;84;85
S-09012;031-040;80;89
S-09012;041-050;131;124
S-09012;051-060;117;105
S-09012;061-070;60;78
S-09012;071-080;86;104
S-09012;80+;56;94
S-09013;000-010;43;36
S-09013;011-020;41;36
S-09013;021-030;31;22
S-09013;031-040;51;58
S-09013;041-050;77;72
S-09013;051-060;36;40
S-09013;061-070;22;41
S-09013;071-080;64;61
S-09013;80+;20;35
S-09014;000-010;72;67
S-09014;011-020;69;82
S-09014;021-030;55;68
S-09014;031-040;101;101
S-09014;041-050;134;111
S-09014;051-060;97;94
S-09014;061-070;98;107
S-09014;071-080;74;96
S-09014;80+;51;80
S-09015;000-010;109;97
S-09015;011-020;104;96
S-09015;021-030;93;93
S-09015;031-040;150;134
S-09015;041-050;155;142
S-09015;051-060;130;112
S-09015;061-070;71;80
S-09015;071-080;72;83
S-09015;80+;27;77
S-09016;000-010;83;70
S-09016;011-020;78;78
S-09016;021-030;91;70
S-09016;031-040;103;96
S-09016;041-050;131;136
S-09016;051-060;95;112
S-09016;061-070;83;101
S-09016;071-080;80;104
S-09016;80+;28;40
S-09017;000-010;119;140
S-09017;011-020;126;93
S-09017;021-030;134;108
S-09017;031-040;181;160
S-09017;041-050;178;149
S-09017;051-060;106;90
S-09017;061-070;65;70
S-09017;071-080;32;42
S-09017;80+;14;31
S-09018;000-010;61;66
S-09018;011-020;84;82
S-09018;021-030;105;101
S-09018;031-040;118;133
S-09018;041-050;135;122
S-09018;051-060;121;123
S-09018;061-070;83;97
S-09018;071-080;76;93
S-09018;80+;64;98
S-09019;000-010;60;50
S-09019;011-020;76;44
S-09019;021-030;69;76
S-09019;031-040;93;83
S-09019;041-050;103;95
S-09019;051-060;87;86
S-09019;061-070;60;68
S-09019;071-080;41;46
S-09019;80+;32;45
S-09020;000-010;21;16
S-09020;011-020;32;25
S-09020;021-030;19;27
S-09020;031-040;47;37
S-09020;041-050;45;41
S-09020;051-060;30;52
S-09020;061-070;71;80
S-09020;071-080;27;29
S-09020;80+;13;17
S-09021;000-010;70;72
S-09021;011-020;90;80
S-09021;021-030;111;97
S-09021;031-040;100;104
S-09021;041-050;158;141
S-09021;051-060;91;103
S-09021;061-070;72;82
S-09021;071-080;62;79
S-09021;80+;24;45
S-09022;000-010;67;57
S-09022;011-020;77;64
S-09022;021-030;76;66
S-09022;031-040;75;95
S-09022;041-050;118;102
S-09022;051-060;97;90
S-09022;061-070;46;66
S-09022;071-080;79;97
S-09022;80+;36;68
S-09023;000-010;42;36
S-09023;011-020;41;34
S-09023;021-030;43;35
S-09023;031-040;58;52
S-09023;041-050;56;55
S-09023;051-060;54;44
S-09023;061-070;25;30
